treeId smallest_leaf largest_leaf
0 0.000909091 0.188182
1 0.000909091 0.164545
2 0.000909091 0.0845455
3 0.000909091 0.256364
4 0.000909091 0.123636
5 0.000909091 0.0809091
6 0.000909091 0.375455
7 0.000909091 0.146364
8 0.000909091 0.0872727
9 0.000909091 0.14
10 0.000909091 0.113636
11 0.000909091 0.287273
12 0.000909091 0.152727
13 0.000909091 0.153636
14 0.000909091 0.117273
15 0.000909091 0.0836364
16 0.000909091 0.150909
17 0.000909091 0.0627273
18 0.000909091 0.0918182
19 0.000909091 0.366364
20 0.000909091 0.103636
21 0.000909091 0.144545
22 0.000909091 0.110909
23 0.000909091 0.0681818
24 0.000909091 0.143636
25 0.000909091 0.35
26 0.000909091 0.0872727
27 0.000909091 0.150909
28 0.000909091 0.203636
29 0.000909091 0.189091
30 0.000909091 0.145455
31 0.000909091 0.25
32 0.000909091 0.0663636
33 0.000909091 0.153636
34 0.000909091 0.111818
35 0.000909091 0.13
36 0.000909091 0.157273
37 0.000909091 0.0572727
38 0.000909091 0.229091
39 0.000909091 0.0627273
40 0.000909091 0.101818
41 0.000909091 0.259091
42 0.000909091 0.312727
43 0.000909091 0.23
44 0.000909091 0.142727
45 0.000909091 0.340909
46 0.000909091 0.0990909
47 0.000909091 0.141818
48 0.000909091 0.0863636
49 0.000909091 0.144545
50 0.000909091 0.310909
51 0.000909091 0.186364
52 0.000909091 0.0754545
53 0.000909091 0.0845455
54 0.000909091 0.139091
55 0.000909091 0.115455
56 0.000909091 0.210909
57 0.000909091 0.101818
58 0.000909091 0.0972727
59 0.000909091 0.0790909
60 0.000909091 0.0963636
61 0.000909091 0.107273
62 0.000909091 0.0981818
63 0.000909091 0.0872727
64 0.000909091 0.164545
65 0.000909091 0.103636
66 0.000909091 0.105455
67 0.000909091 0.105455
68 0.000909091 0.0727273
69 0.000909091 0.135455
70 0.000909091 0.271818
71 0.000909091 0.0581818
72 0.000909091 0.155455
73 0.000909091 0.151818
74 0.000909091 0.296364
75 0.000909091 0.163636
76 0.000909091 0.136364
77 0.000909091 0.115455
78 0.000909091 0.219091
79 0.000909091 0.0845455
80 0.000909091 0.228182
81 0.000909091 0.0736364
82 0.000909091 0.168182
83 0.000909091 0.11
84 0.000909091 0.130909
85 0.000909091 0.0545455
86 0.000909091 0.0736364
87 0.000909091 0.113636
88 0.000909091 0.0827273
89 0.000909091 0.196364
90 0.000909091 0.124545
91 0.000909091 0.133636
92 0.000909091 0.205455
93 0.000909091 0.160909
94 0.000909091 0.0836364
95 0.000909091 0.12
96 0.000909091 0.298182
97 0.000909091 0.110909
98 0.000909091 0.152727
99 0.000909091 0.123636
