Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.158 0.000606862 0.0879526 2.92e-07 0.784288 0.0370635 1.95e-07 1.89e-07 0.000701752
0.159 0.000606862 0.0879526 3.29e-07 0.786549 0.0443294 1.48e-07 1.47e-07 0.000698926
0.16 0.000606862 0.0879526 2.92e-07 0.792493 0.0350287 1.39e-07 1.29e-07 0.000697804
0.161 0.000606862 0.0879526 2.67e-07 0.794293 0.0354 1.29e-07 1.31e-07 0.000698787
0.162 0.000606862 0.0879526 6.11e-07 0.795552 0.0351192 1.42e-07 1.29e-07 0.000697912
0.163 0.000606862 0.0879526 2.71e-07 0.798924 0.040055 1.41e-07 1.3e-07 0.000701142
0.164 0.000606862 0.0879526 3.03e-07 0.802274 0.0377226 1.38e-07 1.3e-07 0.000700153
0.165 0.000606862 0.0879526 3.31e-07 0.807958 0.0425909 1.29e-07 1.28e-07 0.00069905
0.166 0.000606862 0.0879526 2.69e-07 0.808794 0.0474123 1.32e-07 1.24e-07 0.000697826
0.167 0.000606862 0.0879526 2.91e-07 0.809593 0.047942 1.4e-07 1.3e-07 0.000698928
0.168 0.000606862 0.0879526 3.27e-07 0.811899 0.0427328 1.4e-07 1.84e-07 0.000699936
0.169 0.000606862 0.0879526 2.69e-07 0.816558 0.035683 1.41e-07 1.82e-07 0.000702043
0.17 0.000606862 0.0879526 2.7e-07 0.82168 0.035901 1.34e-07 1.3e-07 0.000696711
0.171 0.000606862 0.0879526 3.15e-07 0.8288 0.0384895 1.36e-07 1.28e-07 0.000697485
0.172 0.000606862 0.0879526 2.63e-07 0.829672 0.0363423 1.29e-07 1.31e-07 0.000698296
0.173 0.000606862 0.0879526 2.83e-07 0.83623 0.0389351 1.92e-07 1.37e-07 0.00069556
0.174 0.000606862 0.0879526 2.65e-07 0.835931 0.0365309 1.4e-07 1.29e-07 0.000697579
0.175 0.000606862 0.0879526 4.56e-07 0.831685 0.0364101 1.33e-07 1.3e-07 0.00069602
0.176 0.000606862 0.0879526 3.04e-07 0.841246 0.0366889 1.41e-07 1.35e-07 0.000697125
0.177 0.000606862 0.0879526 2.53e-07 0.846143 0.0390757 1.39e-07 1.37e-07 0.000698551
0.178 0.000606862 0.0879526 2.67e-07 0.848667 0.0391606 2.02e-07 1.27e-07 0.000701222
0.179 0.000606862 0.0879526 3.39e-07 0.850034 0.0416752 1.45e-07 1.27e-07 0.000700196
0.18 0.000606862 0.0879526 2.81e-07 0.852064 0.042715 1.9e-07 1.29e-07 0.000697329
