Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.158 0.00214238 0.0740391 3.24e-07 0.582041 0.0284095 1.43e-07 1.37e-07 0.000572757
0.159 0.00214238 0.0740391 3.22e-07 0.585485 0.027482 1.84e-07 1.41e-07 0.000562127
0.16 0.00214238 0.0740391 3.27e-07 0.586907 0.0277279 1.25e-07 1.3e-07 0.000573468
0.161 0.00214238 0.0740391 3.25e-07 0.589283 0.0278121 1.82e-07 1.42e-07 0.000562159
0.162 0.00214238 0.0740391 3.02e-07 0.591031 0.0286851 1.25e-07 1.28e-07 0.00056257
0.163 0.00214238 0.0740391 3.72e-07 0.592658 0.0258299 1.27e-07 1.49e-07 0.000606167
0.164 0.00214238 0.0740391 3.5e-07 0.598144 0.030539 1.36e-07 1.28e-07 0.000639927
0.165 0.00214238 0.0740391 3.26e-07 0.601378 0.0258919 1.89e-07 1.31e-07 0.000564294
0.166 0.00214238 0.0740391 3.36e-07 0.607038 0.0262548 1.48e-07 1.27e-07 0.000566726
0.167 0.00214238 0.0740391 3.98e-07 0.60839 0.0266851 1.51e-07 1.28e-07 0.00057238
0.168 0.00214238 0.0740391 3.29e-07 0.610663 0.03368 1.43e-07 1.27e-07 0.000569334
0.169 0.00214238 0.0740391 3.78e-07 0.612556 0.0268907 1.46e-07 1.29e-07 0.000565094
0.17 0.00214238 0.0740391 2.84e-07 0.640362 0.0271662 1.38e-07 1.83e-07 0.000564811
0.171 0.00214238 0.0740391 3.87e-07 0.614592 0.0274254 1.41e-07 1.29e-07 0.000564135
0.172 0.00214238 0.0740391 2.9e-07 0.619723 0.0499619 1.5e-07 1.32e-07 0.000567771
0.173 0.00214238 0.0740391 3.19e-07 0.622538 0.0272687 1.42e-07 1.31e-07 0.000614193
0.174 0.00214238 0.0740391 3.08e-07 0.625578 0.027128 1.4e-07 1.3e-07 0.000566221
0.175 0.00214238 0.0740391 3.43e-07 0.624712 0.0267004 1.33e-07 1.29e-07 0.000573726
0.176 0.00214238 0.0740391 3.62e-07 0.628341 0.0292361 1.4e-07 1.069e-06 0.000606563
0.177 0.00214238 0.0740391 2.98e-07 0.631372 0.033461 1.5e-07 1.27e-07 0.000571438
0.178 0.00214238 0.0740391 4.18e-07 0.632601 0.0272613 1.42e-07 1.28e-07 0.000569964
0.179 0.00214238 0.0740391 3.28e-07 0.636464 0.0276447 1.33e-07 1.28e-07 0.000580341
0.18 0.00214238 0.0740391 2.72e-07 0.636032 0.0271435 1.9e-07 1.28e-07 0.000569195
0.181 0.00214238 0.0740391 4.34e-07 0.635857 0.029729 1.51e-07 1.3e-07 0.000570421
0.182 0.00214238 0.0740391 3.13e-07 0.638207 0.0270665 1.48e-07 1.28e-07 0.000571511
0.183 0.00214238 0.0740391 3.38e-07 0.635294 0.0295357 1.37e-07 1.3e-07 0.000570067
0.184 0.00214238 0.0740391 3.85e-07 0.633321 0.0271814 1.91e-07 1.36e-07 0.000568966
0.185 0.00214238 0.0740391 4e-07 0.633388 0.0292914 1.4e-07 1.25e-07 0.000568383
0.186 0.00214238 0.0740391 4.15e-07 0.63873 0.0275772 1.29e-07 1.29e-07 0.000568127
0.187 0.00214238 0.0740391 3.86e-07 0.667628 0.0278587 1.94e-07 1.33e-07 0.000568527
0.188 0.00214238 0.0740391 2.8e-07 0.667879 0.030013 1.3e-07 1.19e-07 0.000571255
0.189 0.00214238 0.0740391 3.64e-07 0.644928 0.0340269 1.33e-07 1.46e-07 0.000570042
0.19 0.00214238 0.0740391 4.14e-07 0.651573 0.0281417 1.85e-07 1.4e-07 0.000582099
0.191 0.00214238 0.0740391 3.22e-07 0.6505 0.0281578 1.33e-07 1.82e-07 0.000582282
