treeId smallest_leaf largest_leaf
0 0.000666667 0.135333
1 0.000666667 0.237333
2 0.000666667 0.179333
3 0.000666667 0.257333
4 0.000666667 0.135333
5 0.000666667 0.346667
6 0.000666667 0.186
7 0.000666667 0.282667
8 0.000666667 0.252
9 0.000666667 0.184
10 0.000666667 0.0873333
11 0.000666667 0.276667
12 0.000666667 0.148
13 0.000666667 0.126
14 0.00133333 0.304667
15 0.000666667 0.252667
16 0.000666667 0.266667
17 0.000666667 0.334667
18 0.000666667 0.274
19 0.000666667 0.308
20 0.000666667 0.16
21 0.000666667 0.248
22 0.000666667 0.218667
23 0.000666667 0.191333
24 0.000666667 0.149333
25 0.000666667 0.062
26 0.000666667 0.228667
27 0.000666667 0.204667
28 0.000666667 0.267333
29 0.000666667 0.268
30 0.000666667 0.194667
31 0.000666667 0.374667
32 0.000666667 0.230667
33 0.000666667 0.0926667
34 0.000666667 0.169333
35 0.00133333 0.331333
36 0.000666667 0.170667
37 0.000666667 0.215333
38 0.000666667 0.152
39 0.000666667 0.248667
40 0.000666667 0.243333
41 0.000666667 0.252
42 0.000666667 0.271333
43 0.000666667 0.328
44 0.000666667 0.177333
45 0.000666667 0.302667
46 0.002 0.238
47 0.000666667 0.319333
48 0.000666667 0.217333
49 0.00133333 0.308667
50 0.000666667 0.229333
51 0.000666667 0.289333
52 0.000666667 0.31
53 0.000666667 0.291333
54 0.000666667 0.275333
55 0.000666667 0.109333
56 0.000666667 0.211333
57 0.000666667 0.235333
58 0.000666667 0.234
59 0.000666667 0.168667
60 0.000666667 0.144667
61 0.000666667 0.0773333
62 0.000666667 0.556667
63 0.000666667 0.1
64 0.000666667 0.606
65 0.000666667 0.191333
66 0.000666667 0.172
67 0.000666667 0.114667
68 0.00133333 0.113333
69 0.000666667 0.209333
70 0.000666667 0.349333
71 0.000666667 0.253333
72 0.000666667 0.139333
73 0.00133333 0.136667
74 0.000666667 0.329333
75 0.000666667 0.672667
76 0.000666667 0.272667
77 0.000666667 0.168
78 0.000666667 0.156
79 0.000666667 0.326667
80 0.000666667 0.422667
81 0.000666667 0.18
82 0.000666667 0.280667
83 0.000666667 0.374
84 0.000666667 0.530667
85 0.000666667 0.305333
86 0.000666667 0.628667
87 0.000666667 0.353333
88 0.000666667 0.284
89 0.000666667 0.3
90 0.000666667 0.228
91 0.000666667 0.196
92 0.000666667 0.0893333
93 0.000666667 0.365333
94 0.000666667 0.217333
95 0.000666667 0.265333
96 0.000666667 0.119333
97 0.000666667 0.227333
98 0.000666667 0.180667
99 0.000666667 0.185333
