Dc(%) Dc(distance) dPTime matrixTime localdensityTime relativedistanceTime ccidentificationTime clusterassignTime
6.9 0.135393 0.00095182 0.121876 0.0127928 0.0248024 0.000850174 5.5242e-05
7 0.137145 0.00095182 0.121876 0.0128635 0.0245659 0.000866829 5.494e-05
7.1 0.138842 0.00095182 0.121876 0.0128754 0.0250604 0.000850411 5.4898e-05
7.2 0.140601 0.00095182 0.121876 0.0129053 0.024891 0.000848868 5.4815e-05
7.3 0.142427 0.00095182 0.121876 0.0128954 0.0251172 0.000852684 5.5312e-05
7.4 0.144135 0.00095182 0.121876 0.0129618 0.0246873 0.000869001 5.5073e-05
7.5 0.14588 0.00095182 0.121876 0.0129711 0.0248542 0.000895438 5.4293e-05
7.6 0.147529 0.00095182 0.121876 0.0129954 0.0252164 0.000895661 5.4862e-05
7.7 0.149308 0.00095182 0.121876 0.0129931 0.0250274 0.00086789 5.4493e-05
7.8 0.15107 0.00095182 0.121876 0.0129824 0.0248172 0.000875226 7.5522e-05
7.9 0.152807 0.00095182 0.121876 0.013003 0.0249765 0.000900148 5.4909e-05
8 0.154552 0.00095182 0.121876 0.0130564 0.0250856 0.000860105 5.4541e-05
8.1 0.156231 0.00095182 0.121876 0.0130808 0.024728 0.000849347 5.5249e-05
8.2 0.157913 0.00095182 0.121876 0.013063 0.0249046 0.000863264 5.5627e-05
8.3 0.159671 0.00095182 0.121876 0.0130862 0.0251196 0.000881656 5.4671e-05
8.4 0.161281 0.00095182 0.121876 0.0131547 0.0251432 0.000846563 5.4762e-05
8.5 0.162941 0.00095182 0.121876 0.01316 0.0252213 0.000835896 5.5049e-05
8.6 0.164627 0.00095182 0.121876 0.0131883 0.0249929 0.000830493 5.4277e-05
8.7 0.166146 0.00095182 0.121876 0.0131956 0.0290197 0.000843676 5.4004e-05
8.8 0.167742 0.00095182 0.121876 0.013255 0.0251411 0.000828074 5.4418e-05
8.9 0.16934 0.00095182 0.121876 0.0132424 0.0252239 0.000844872 5.4851e-05
9 0.170832 0.00095182 0.121876 0.0132514 0.0249524 0.000848454 5.387e-05
9.1 0.172342 0.00095182 0.121876 0.0132974 0.0250652 0.000829727 5.4348e-05
9.2 0.173903 0.00095182 0.121876 0.0133401 0.0252645 0.000834882 5.4418e-05
9.3 0.175443 0.00095182 0.121876 0.0132904 0.0249716 0.000826641 5.4437e-05
9.4 0.176957 0.00095182 0.121876 0.013342 0.0251525 0.000822785 5.5128e-05
9.5 0.178382 0.00095182 0.121876 0.0133265 0.0252085 0.000844922 5.4809e-05
9.6 0.179743 0.00095182 0.121876 0.0133485 0.0252498 0.000820505 5.4981e-05
9.7 0.181253 0.00095182 0.121876 0.0133975 0.0254791 0.000819561 5.5208e-05
9.8 0.182671 0.00095182 0.121876 0.0134616 0.0254162 0.000848919 6.9902e-05
9.9 0.184076 0.00095182 0.121876 0.0134913 0.0256927 0.000820228 5.4969e-05
10 0.185398 0.00095182 0.121876 0.0135465 0.0254735 0.00083443 5.5215e-05
10.1 0.186671 0.00095182 0.121876 0.0135043 0.0252059 0.000829598 5.4626e-05
10.2 0.188009 0.00095182 0.121876 0.013498 0.0249292 0.000828391 5.4759e-05
10.3 0.189243 0.00095182 0.121876 0.0134949 0.0251113 0.000813905 5.4659e-05
10.4 0.190492 0.00095182 0.121876 0.0135355 0.0248543 0.00081648 5.5341e-05
10.5 0.191725 0.00095182 0.121876 0.0135609 0.0249843 0.000830522 5.4896e-05
10.6 0.192869 0.00095182 0.121876 0.0135836 0.0247508 0.000833595 5.5909e-05
10.7 0.194009 0.00095182 0.121876 0.0136412 0.0250923 0.000826351 5.5094e-05
10.8 0.195216 0.00095182 0.121876 0.0136159 0.0251001 0.000878357 5.528e-05
10.9 0.196334 0.00095182 0.121876 0.0136977 0.0251252 0.000836637 5.4521e-05
11 0.197478 0.00095182 0.121876 0.0136738 0.0248801 0.000852213 5.4716e-05
11.1 0.198551 0.00095182 0.121876 0.0136402 0.0305458 0.000845137 5.4426e-05
11.2 0.199576 0.00095182 0.121876 0.0137475 0.0253691 0.000851526 5.4969e-05
11.3 0.200643 0.00095182 0.121876 0.0137559 0.025434 0.000836931 5.4262e-05
11.4 0.201643 0.00095182 0.121876 0.0137271 0.0253576 0.000892351 5.4847e-05
11.5 0.20269 0.00095182 0.121876 0.0137937 0.0252331 0.000832228 5.536e-05
11.6 0.203672 0.00095182 0.121876 0.013764 0.0253417 0.000879526 5.4599e-05
11.7 0.204685 0.00095182 0.121876 0.0138115 0.0250023 0.000851294 5.4142e-05
11.8 0.205683 0.00095182 0.121876 0.0138635 0.0255072 0.000847606 5.4399e-05
11.9 0.206651 0.00095182 0.121876 0.0138782 0.0252152 0.000856412 5.4849e-05
12 0.207623 0.00095182 0.121876 0.0138156 0.0253629 0.000833344 5.4492e-05
12.1 0.208563 0.00095182 0.121876 0.013944 0.0254325 0.000842003 5.4957e-05
12.2 0.2095 0.00095182 0.121876 0.0139146 0.0250818 0.000825474 5.5178e-05
12.3 0.210404 0.00095182 0.121876 0.0139551 0.0255044 0.000835811 5.5205e-05
12.4 0.211326 0.00095182 0.121876 0.0139565 0.0256847 0.000887261 5.4546e-05
12.5 0.212203 0.00095182 0.121876 0.0140103 0.0256178 0.000852225 5.45e-05
12.6 0.213069 0.00095182 0.121876 0.014027 0.0253868 0.000822126 5.4019e-05
12.7 0.213929 0.00095182 0.121876 0.014002 0.0259797 0.000836056 5.4712e-05
12.8 0.214817 0.00095182 0.121876 0.0140758 0.0255338 0.000837595 5.5513e-05
12.9 0.215622 0.00095182 0.121876 0.0140293 0.0254353 0.000832611 5.5422e-05
13 0.216463 0.00095182 0.121876 0.0140803 0.0253366 0.000853983 5.5422e-05
13.1 0.217317 0.00095182 0.121876 0.0140753 0.0258709 0.000839857 5.4735e-05
13.2 0.218099 0.00095182 0.121876 0.0140945 0.0259804 0.000863803 5.4264e-05
13.3 0.218906 0.00095182 0.121876 0.0141157 0.0257507 0.000846494 5.4808e-05
13.4 0.219699 0.00095182 0.121876 0.0141654 0.0259298 0.000890162 5.425e-05
13.5 0.220484 0.00095182 0.121876 0.0145474 0.0263658 0.000881689 5.4553e-05
13.6 0.221208 0.00095182 0.121876 0.0141753 0.0256703 0.000891431 5.4124e-05
13.7 0.221947 0.00095182 0.121876 0.0142379 0.0283542 0.00094991 5.4373e-05
13.8 0.222756 0.00095182 0.121876 0.0144573 0.025915 0.00083718 5.4678e-05
13.9 0.223542 0.00095182 0.121876 0.0142421 0.0262787 0.000834548 5.4862e-05
14 0.224302 0.00095182 0.121876 0.0143096 0.0259555 0.000886771 5.4371e-05
14.1 0.225059 0.00095182 0.121876 0.0144986 0.0259493 0.000836693 5.4854e-05
14.2 0.225795 0.00095182 0.121876 0.0143378 0.0258961 0.000853962 5.4495e-05
14.3 0.226483 0.00095182 0.121876 0.0143812 0.0258284 0.000848231 5.5029e-05
14.4 0.227209 0.00095182 0.121876 0.0143783 0.0259631 0.000885629 5.5177e-05
14.5 0.227912 0.00095182 0.121876 0.0144335 0.025801 0.000832891 5.4176e-05
14.6 0.22863 0.00095182 0.121876 0.0143692 0.0259402 0.000833877 5.4836e-05
14.7 0.229335 0.00095182 0.121876 0.0145069 0.0260706 0.000860482 5.5065e-05
14.8 0.23005 0.00095182 0.121876 0.0144735 0.0259498 0.000857162 5.9384e-05
14.9 0.230735 0.00095182 0.121876 0.0144981 0.0261228 0.000834993 5.5451e-05
15 0.23143 0.00095182 0.121876 0.0144673 0.0259804 0.000848534 5.4971e-05
15.1 0.232148 0.00095182 0.121876 0.0144727 0.0259518 0.000847192 5.4487e-05
15.2 0.232855 0.00095182 0.121876 0.0145492 0.0260797 0.000865099 5.5131e-05
15.3 0.233536 0.00095182 0.121876 0.0145933 0.0259465 0.000831545 5.47e-05
15.4 0.234207 0.00095182 0.121876 0.0145951 0.0261393 0.000940367 5.4794e-05
15.5 0.234866 0.00095182 0.121876 0.0146453 0.0259543 0.000986753 5.4312e-05
15.6 0.235517 0.00095182 0.121876 0.0146662 0.0259761 0.000860568 8.7825e-05
15.7 0.236181 0.00095182 0.121876 0.0146733 0.0263796 0.000850878 5.9067e-05
15.8 0.236826 0.00095182 0.121876 0.0152006 0.0267501 0.000874641 5.4934e-05
15.9 0.23745 0.00095182 0.121876 0.0146957 0.0261949 0.000854342 5.494e-05
16 0.238101 0.00095182 0.121876 0.0147792 0.0259891 0.00087202 5.4539e-05
16.1 0.238799 0.00095182 0.121876 0.0147721 0.0260167 0.000865255 8.8834e-05
16.2 0.23949 0.00095182 0.121876 0.0147589 0.0260469 0.000834437 5.4757e-05
16.3 0.240111 0.00095182 0.121876 0.0147987 0.026174 0.000820479 5.4625e-05
16.4 0.24074 0.00095182 0.121876 0.0148755 0.0269372 0.000884631 5.5045e-05
16.5 0.24139 0.00095182 0.121876 0.0148393 0.0258831 0.000824454 5.4337e-05
16.6 0.241999 0.00095182 0.121876 0.0148409 0.0259614 0.000859593 5.4799e-05
16.7 0.242662 0.00095182 0.121876 0.0148717 0.0260243 0.000845875 5.4831e-05
16.8 0.243278 0.00095182 0.121876 0.0149072 0.0260816 0.000848857 5.4689e-05
16.9 0.243898 0.00095182 0.121876 0.0149239 0.0260004 0.000856655 5.4505e-05
17 0.244498 0.00095182 0.121876 0.0149523 0.0263674 0.000830181 5.5148e-05
17.1 0.24514 0.00095182 0.121876 0.0149486 0.0258729 0.000837865 5.5153e-05
17.2 0.24578 0.00095182 0.121876 0.0150051 0.0259478 0.000846303 5.5024e-05
17.3 0.246427 0.00095182 0.121876 0.0150021 0.0261094 0.000820497 5.531e-05
17.4 0.247016 0.00095182 0.121876 0.0150112 0.0261485 0.000841958 5.4307e-05
17.5 0.247639 0.00095182 0.121876 0.0150507 0.0260038 0.000849383 5.4413e-05
17.6 0.248214 0.00095182 0.121876 0.0150319 0.02598 0.000829191 5.501e-05
17.7 0.248818 0.00095182 0.121876 0.0150784 0.026233 0.000893351 5.5142e-05
17.8 0.249439 0.00095182 0.121876 0.0151318 0.0259896 0.000895218 5.4948e-05
17.9 0.25005 0.00095182 0.121876 0.0151467 0.0258572 0.000834165 5.5019e-05
18 0.250657 0.00095182 0.121876 0.0151691 0.0270125 0.00088515 5.7714e-05
18.1 0.251278 0.00095182 0.121876 0.0155431 0.0264615 0.000856115 5.4545e-05
18.2 0.251849 0.00095182 0.121876 0.0152305 0.0259892 0.000863224 5.4861e-05
18.3 0.252456 0.00095182 0.121876 0.0152864 0.0260569 0.000856416 5.5071e-05
18.4 0.253087 0.00095182 0.121876 0.0152463 0.026119 0.000843288 5.4945e-05
18.5 0.253711 0.00095182 0.121876 0.01528 0.0263116 0.000827657 5.5084e-05
18.6 0.254348 0.00095182 0.121876 0.0152595 0.0259271 0.000857452 5.4248e-05
18.7 0.254931 0.00095182 0.121876 0.0152692 0.0258827 0.000843966 5.5057e-05
18.8 0.255529 0.00095182 0.121876 0.0153331 0.0257893 0.00085077 5.5294e-05
18.9 0.256115 0.00095182 0.121876 0.0153214 0.0259258 0.000837307 5.4504e-05
19 0.2567 0.00095182 0.121876 0.0153033 0.0261405 0.000840435 5.462e-05
19.1 0.257292 0.00095182 0.121876 0.0153987 0.0257934 0.000840844 5.4383e-05
19.2 0.257869 0.00095182 0.121876 0.0154998 0.0261057 0.000866972 5.4872e-05
19.3 0.258462 0.00095182 0.121876 0.0154498 0.0258538 0.000881632 5.4789e-05
19.4 0.259068 0.00095182 0.121876 0.0154602 0.0258195 0.00085075 5.4375e-05
19.5 0.259689 0.00095182 0.121876 0.0154664 0.0257936 0.000861232 5.4711e-05
19.6 0.26029 0.00095182 0.121876 0.0155019 0.0257751 0.000848243 5.472e-05
19.7 0.260869 0.00095182 0.121876 0.0155253 0.0259957 0.000918908 5.4697e-05
19.8 0.261465 0.00095182 0.121876 0.0155616 0.0256722 0.000830972 5.5339e-05
19.9 0.26206 0.00095182 0.121876 0.0155597 0.0257477 0.000863367 5.4693e-05
20 0.262666 0.00095182 0.121876 0.0155867 0.025619 0.000827289 5.515e-05
20.1 0.263281 0.00095182 0.121876 0.0156208 0.0261716 0.000847515 5.4925e-05
20.2 0.263885 0.00095182 0.121876 0.0156382 0.0256451 0.000860211 5.4589e-05
20.3 0.264468 0.00095182 0.121876 0.0156556 0.0280349 0.000838103 5.5155e-05
20.4 0.265044 0.00095182 0.121876 0.01567 0.0257425 0.000897766 5.5746e-05
20.5 0.265631 0.00095182 0.121876 0.0156737 0.0259806 0.000857287 5.4961e-05
20.6 0.266213 0.00095182 0.121876 0.0157281 0.025964 0.000853291 5.553e-05
20.7 0.266805 0.00095182 0.121876 0.015758 0.0257297 0.00084027 5.4741e-05
20.8 0.267379 0.00095182 0.121876 0.0157137 0.0258179 0.00084394 5.5484e-05
20.9 0.268034 0.00095182 0.121876 0.0157742 0.0257396 0.0008672 5.5325e-05
21 0.268665 0.00095182 0.121876 0.0157952 0.0254325 0.000851758 5.5259e-05
21.1 0.269246 0.00095182 0.121876 0.0158034 0.0254969 0.00083602 5.4724e-05
21.2 0.269815 0.00095182 0.121876 0.0158866 0.0256346 0.000858396 5.4574e-05
21.3 0.270417 0.00095182 0.121876 0.0158653 0.0253741 0.000876353 5.4581e-05
21.4 0.271014 0.00095182 0.121876 0.0159032 0.0256112 0.000855682 7.0684e-05
21.5 0.271595 0.00095182 0.121876 0.0160271 0.0260988 0.000831947 5.5779e-05
21.6 0.272242 0.00095182 0.121876 0.0159732 0.0254748 0.000843614 5.4579e-05
21.7 0.272831 0.00095182 0.121876 0.0159501 0.0254324 0.000841226 5.547e-05
21.8 0.27345 0.00095182 0.121876 0.0159919 0.0258 0.000849842 5.5208e-05
21.9 0.274038 0.00095182 0.121876 0.0160309 0.0253027 0.000863297 5.4631e-05
22 0.274654 0.00095182 0.121876 0.0160001 0.025293 0.000835896 5.4823e-05
22.1 0.275284 0.00095182 0.121876 0.016063 0.025493 0.000890427 5.4623e-05
22.2 0.275899 0.00095182 0.121876 0.0160723 0.0257867 0.000857049 5.4565e-05
22.3 0.276519 0.00095182 0.121876 0.0160638 0.0256054 0.000855729 5.4332e-05
22.4 0.277139 0.00095182 0.121876 0.0161494 0.0255903 0.000853853 5.4394e-05
22.5 0.277777 0.00095182 0.121876 0.0161998 0.0258445 0.00086941 5.6698e-05
22.6 0.278407 0.00095182 0.121876 0.0165615 0.026115 0.000869628 5.5299e-05
22.7 0.279027 0.00095182 0.121876 0.0162087 0.0255165 0.000810115 5.4915e-05
22.8 0.279628 0.00095182 0.121876 0.0162706 0.0253656 0.000871587 5.447e-05
22.9 0.280208 0.00095182 0.121876 0.0162571 0.02543 0.000830473 5.5145e-05
23 0.280803 0.00095182 0.121876 0.0162589 0.0258111 0.000839327 5.5162e-05
23.1 0.281419 0.00095182 0.121876 0.0162944 0.0255717 0.000872077 5.468e-05
23.2 0.28204 0.00095182 0.121876 0.0163483 0.0255868 0.000847463 5.4446e-05
23.3 0.282651 0.00095182 0.121876 0.0163438 0.0254241 0.000833311 5.4439e-05
23.4 0.283309 0.00095182 0.121876 0.0163371 0.0255264 0.000850942 5.4242e-05
23.5 0.283939 0.00095182 0.121876 0.0163807 0.0257679 0.000854382 5.4261e-05
23.6 0.284593 0.00095182 0.121876 0.0163841 0.0253342 0.000883957 5.5251e-05
23.7 0.28525 0.00095182 0.121876 0.0164271 0.0257207 0.000857833 5.4783e-05
23.8 0.285852 0.00095182 0.121876 0.0164674 0.0252213 0.000838596 5.4927e-05
23.9 0.286459 0.00095182 0.121876 0.0165228 0.0254397 0.000835641 5.5574e-05
24 0.287072 0.00095182 0.121876 0.0164752 0.0253616 0.000841588 5.491e-05
24.1 0.287688 0.00095182 0.121876 0.0165001 0.0253198 0.000823497 5.4373e-05
24.2 0.28834 0.00095182 0.121876 0.0165208 0.0253803 0.000834738 5.4217e-05
24.3 0.288972 0.00095182 0.121876 0.0165442 0.0253894 0.000844326 5.4646e-05
24.4 0.289636 0.00095182 0.121876 0.0166012 0.0253118 0.000867728 5.4718e-05
24.5 0.290278 0.00095182 0.121876 0.0165917 0.0254839 0.000835243 5.4552e-05
24.6 0.290903 0.00095182 0.121876 0.0166814 0.0256884 0.00086857 5.5197e-05
24.7 0.291541 0.00095182 0.121876 0.0166968 0.0258813 0.00084129 5.463e-05
24.8 0.29216 0.00095182 0.121876 0.0170023 0.0282175 0.000832838 5.4723e-05
24.9 0.292796 0.00095182 0.121876 0.016721 0.0256665 0.000850527 5.5674e-05
25 0.293455 0.00095182 0.121876 0.0167028 0.0256647 0.000849726 5.4842e-05
25.1 0.294093 0.00095182 0.121876 0.0167291 0.0256116 0.000844911 5.4579e-05
25.2 0.294732 0.00095182 0.121876 0.0168149 0.0257393 0.000846786 5.4391e-05
25.3 0.295396 0.00095182 0.121876 0.0168022 0.0254048 0.000867848 5.4963e-05
25.4 0.296021 0.00095182 0.121876 0.0168051 0.0255736 0.000849175 5.4874e-05
25.5 0.296697 0.00095182 0.121876 0.0168276 0.0255289 0.000856074 5.5094e-05
25.6 0.297344 0.00095182 0.121876 0.0168474 0.025682 0.000869929 5.4572e-05
25.7 0.298015 0.00095182 0.121876 0.016874 0.0257955 0.000862452 5.5069e-05
25.8 0.29865 0.00095182 0.121876 0.0169158 0.0255729 0.000847203 5.5252e-05
25.9 0.29934 0.00095182 0.121876 0.0169622 0.0258561 0.000878024 5.4801e-05
26 0.299971 0.00095182 0.121876 0.0170427 0.0254853 0.000848647 5.4689e-05
26.1 0.300596 0.00095182 0.121876 0.0169628 0.025756 0.000915185 5.463e-05
26.2 0.301257 0.00095182 0.121876 0.0169924 0.0255746 0.000846704 5.5532e-05
26.3 0.301862 0.00095182 0.121876 0.0170413 0.0254047 0.000838862 5.4418e-05
26.4 0.302505 0.00095182 0.121876 0.0170527 0.0254182 0.00088112 5.4872e-05
26.5 0.303193 0.00095182 0.121876 0.0170653 0.025536 0.000859711 5.4769e-05
26.6 0.303863 0.00095182 0.121876 0.0170827 0.0258103 0.000880904 5.5173e-05
26.7 0.304538 0.00095182 0.121876 0.0171855 0.025827 0.00085121 5.5208e-05
26.8 0.305167 0.00095182 0.121876 0.0172412 0.0257413 0.000855735 5.4958e-05
26.9 0.305815 0.00095182 0.121876 0.017158 0.0255708 0.000857774 5.4627e-05
27 0.306476 0.00095182 0.121876 0.0175455 0.0264724 0.000861751 5.4645e-05
27.1 0.307147 0.00095182 0.121876 0.017256 0.0258043 0.000864549 5.5137e-05
27.2 0.307812 0.00095182 0.121876 0.0173128 0.0259305 0.00085419 5.4888e-05
27.3 0.308467 0.00095182 0.121876 0.0172736 0.0256486 0.000860681 5.4922e-05
27.4 0.309127 0.00095182 0.121876 0.0172852 0.0256553 0.000858414 5.4062e-05
27.5 0.309818 0.00095182 0.121876 0.0173092 0.0259564 0.000866155 5.4666e-05
27.6 0.310446 0.00095182 0.121876 0.0173341 0.0256342 0.000894284 5.4508e-05
27.7 0.311103 0.00095182 0.121876 0.0173454 0.0256734 0.00085182 5.474e-05
27.8 0.311789 0.00095182 0.121876 0.0173934 0.0255485 0.000837153 5.4982e-05
27.9 0.312446 0.00095182 0.121876 0.0174031 0.0261127 0.000904994 5.4439e-05
28 0.313096 0.00095182 0.121876 0.0174383 0.0258707 0.000861722 5.4909e-05
28.1 0.313784 0.00095182 0.121876 0.0174383 0.0261061 0.00087959 5.4977e-05
28.2 0.314445 0.00095182 0.121876 0.0174634 0.0260855 0.000863981 5.5309e-05
28.3 0.31512 0.00095182 0.121876 0.0175151 0.0257824 0.000840739 5.5868e-05
28.4 0.315784 0.00095182 0.121876 0.0175108 0.0257981 0.000853358 5.4442e-05
28.5 0.316459 0.00095182 0.121876 0.0175648 0.0258048 0.000863642 5.4777e-05
28.6 0.317114 0.00095182 0.121876 0.0175677 0.0259434 0.000877144 5.4244e-05
28.7 0.317806 0.00095182 0.121876 0.0175726 0.0259151 0.000851663 5.4542e-05
28.8 0.318478 0.00095182 0.121876 0.0176419 0.0257635 0.000868945 5.4723e-05
28.9 0.319136 0.00095182 0.121876 0.0176296 0.0262071 0.000862373 5.5144e-05
29 0.319791 0.00095182 0.121876 0.0177184 0.0258803 0.000862253 5.4389e-05
29.1 0.320452 0.00095182 0.121876 0.0177116 0.0270921 0.000939496 5.9511e-05
29.2 0.321153 0.00095182 0.121876 0.01796 0.026357 0.000871611 5.4713e-05
29.3 0.321825 0.00095182 0.121876 0.0177262 0.026101 0.000906849 5.4565e-05
29.4 0.322518 0.00095182 0.121876 0.0177704 0.0261082 0.00087809 5.5183e-05
29.5 0.323185 0.00095182 0.121876 0.0177917 0.0264146 0.000857156 5.4289e-05
29.6 0.323838 0.00095182 0.121876 0.0178644 0.0261541 0.000854419 5.4118e-05
29.7 0.324544 0.00095182 0.121876 0.0178405 0.0262319 0.000852206 5.4607e-05
29.8 0.325235 0.00095182 0.121876 0.0178828 0.0260381 0.000849634 5.4426e-05
29.9 0.325924 0.00095182 0.121876 0.0179081 0.0259007 0.000884474 5.4984e-05
30 0.326628 0.00095182 0.121876 0.0179638 0.0263488 0.000889394 5.4797e-05
30.1 0.327297 0.00095182 0.121876 0.0179535 0.0259483 0.000875184 5.5117e-05
30.2 0.328016 0.00095182 0.121876 0.0179948 0.0261774 0.000866538 5.4626e-05
30.3 0.32871 0.00095182 0.121876 0.0180165 0.026339 0.000852348 5.4534e-05
30.4 0.329392 0.00095182 0.121876 0.0180522 0.02608 0.00088032 5.5035e-05
